"","X","Domain","label","color"
"1","Euryarchaeota","Archaea","Euryarchaeota","#DF5BC7"
"2","archaeon","Archaea","Other Archaea","#E5A9D3"
"3","Crenarchaeota","Archaea","Other Archaea","#E5A9D3"
"4","uncultured","Archaea","Other Archaea","#E5A9D3"
"5","anaerobic","Archaea","Other Archaea","#E5A9D3"
"6","Firmicutes","Bacteria","Firmicutes","#cd5c5c"
"7","Actinobacteria","Bacteria","Actinobacteria","#DAAF44"
"8","Tenericutes","Bacteria","Other Bacteria","#E77C3F"
"9","Spirochaetes","Bacteria","Other Bacteria","#E77C3F"
"10","Rhodothermaeota","Bacteria","Other Bacteria","#E77C3F"
"11","Bacteroidetes","Bacteria","Bacteroidetes","#F7B259"
"12","Proteobacteria","Bacteria","Proteobacteria","#F77268"
"13","bacterium","Bacteria","Other Bacteria","#E77C3F"
"14","Planctomycetes","Bacteria","Planctomycetes","#E36A2A"
"15","Chloroflexi","Bacteria","Chloroflexi,Chlorobi","#AA1E2C"
"16","Gemmatimonadetes","Bacteria","Other Bacteria","#E77C3F"
"17","Verrucomicrobia","Bacteria","Other Bacteria","#E77C3F"
"18","Deinococcus-Thermus","Bacteria","Deinococcus-Thermus","#666666"
"19","Chlorobi","Bacteria","Chloroflexi,Chlorobi","#AA1E2C"
"20","Balneolaeota","Bacteria","Other Bacteria","#E77C3F"
"21","Thermobaculum","Bacteria","Other Bacteria","#E77C3F"
"22","Abditibacteriota","Bacteria","Other Bacteria","#E77C3F"
"23","Armatimonadetes","Bacteria","Other Bacteria","#E77C3F"
"24","Ignavibacteriae","Bacteria","Other Bacteria","#E77C3F"
"25","Cyanobacteria","Bacteria","Cyanobacteria","#95cd5c"
"26","Nitrospirae","Bacteria","Other Bacteria","#E77C3F"
"27","Elusimicrobia","Bacteria","Other Bacteria","#E77C3F"
"28","Candidatus","Bacteria","Other Bacteria","#E77C3F"
"29","Acidobacteria","Bacteria","Other Bacteria","#E77C3F"
"30","Fusobacteria","Bacteria","Other Bacteria","#E77C3F"
"31","Fibrobacteres","Bacteria","Other Bacteria","#E77C3F"
"32","Thermotogae","Bacteria","Other Bacteria","#E77C3F"
"33","Chlamydiae","Bacteria","Other Bacteria","#E77C3F"
"34","Dinophyceae","Eukaryota","Dinophyceae","#145A87"
"35","Evosea","Eukaryota","Amoebozoa","#955ccd"
"36","Cryptophyta","Eukaryota","Cryptophyta","#5ccdcd"
"37","Bacillariophyta","Eukaryota","Ochrophytes","#117731"
"38","Bigyra","Eukaryota","Bigyra","#239A9E"
"39","Chytridiomycota","Eukaryota","Fungi","#B9A7D2"
"40","Discosea","Eukaryota","Amoebozoa","#955ccd"
"41","Chlorophyta","Eukaryota","Archaeplastida","#034E18"
"42","Basidiomycota","Eukaryota","Fungi","#B9A7D2"
"43","Ascomycota","Eukaryota","Fungi","#B9A7D2"
"44","fungal","Eukaryota","Fungi","#B9A7D2"
"45","Blastocladiomycota","Eukaryota","Fungi","#B9A7D2"
"46","Mucoromycota","Eukaryota","Fungi","#B9A7D2"
"47","Arthropoda","Eukaryota","Metazoa","#B081C8"
"48","Apusomonadidae","Eukaryota","Apusomonadidae","#032882"
"49","Ciliophora","Eukaryota","Other Eukaryotes","#3FE775"
"50","Chordata","Eukaryota","Metazoa","#B081C8"
"51","Dictyochophyceae","Eukaryota","Ochrophytes","#117731"
"52","Haptista","Eukaryota","Haptista","#A1D4D5"
"53","Pelagophyceae","Eukaryota","Ochrophytes","#117731"
"54","Foraminifera","Eukaryota","Rhizaria","#53B16D"
"55","Raphidophyceae","Eukaryota","Ochrophytes","#117731"
"56","Pinguiophyceae","Eukaryota","Ochrophytes","#117731"
"57","Bolidophyceae","Eukaryota","Ochrophytes","#117731"
"58","Rhodophyta","Eukaryota","Archaeplastida","#034E18"
"59","Euglenozoa","Eukaryota","Other Eukaryotes","#3FE775"
"60","Phaeophyceae","Eukaryota","Ochrophytes","#117731"
"61","Synchromophyceae","Eukaryota","Ochrophytes","#117731"
"62","Vitrellaceae","Eukaryota","Other Eukaryotes","#3FE775"
"63","Chromeraceae","Eukaryota","Other Eukaryotes","#3FE775"
"64","Chrysophyceae","Eukaryota","Ochrophytes","#117731"
"65","Streptophyta","Eukaryota","Archaeplastida","#034E18"
"66","Cercozoa","Eukaryota","Rhizaria","#53B16D"
"67","Glaucocystophyceae","Eukaryota","Archaeplastida","#034E18"
"68","Heterolobosea","Eukaryota","Other Eukaryotes","#3FE775"
"69","Synurophyceae","Eukaryota","Ochrophytes","#117731"
"70","Chromerida","Eukaryota","Other Eukaryotes","#3FE775"
"71","Xanthophyceae","Eukaryota","Ochrophytes","#117731"
"72","Zoopagomycota","Eukaryota","Fungi","#B9A7D2"
"73","Nematoda","Eukaryota","Metazoa","#B081C8"
"74","Cryptomycota","Eukaryota","Fungi","#B9A7D2"
"75","Mollusca","Eukaryota","Metazoa","#B081C8"
"76","Choanoflagellata","Eukaryota","Other Eukaryotes","#3FE775"
"77","Oomycetes","Eukaryota","Oomycetes","#511D85"
"78","Palpitomonas","Eukaryota","Other Eukaryotes","#3FE775"
"79","Platyhelminthes","Eukaryota","Metazoa","#B081C8"
"80","Annelida","Eukaryota","Metazoa","#B081C8"
"81","Brachiopoda","Eukaryota","Metazoa","#B081C8"
"82","Echinodermata","Eukaryota","Metazoa","#B081C8"
"83","Cnidaria","Eukaryota","Metazoa","#B081C8"
"84","Rotifera","Eukaryota","Metazoa","#B081C8"
